Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by RLHP Relationship in Household"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RLHP Relationship in Household","Husband, Wife or Partner in a registered marriage","Husband, Wife or Partner in de facto marriage, opposite-sex couple","Husband, Wife or Partner in de facto marriage, male same-sex couple","Husband, Wife or Partner in de facto marriage, female same-sex couple","Lone parent","Natural or adopted child under 15","Step child under 15","Foster child under 15","Grandchild under 15","Otherwise related child under 15","Unrelated child under 15","Natural or adopted dependent student","Dependent student step child","Dependent student foster child","Non-dependent natural, or adopted child","Non-dependent step child","Non-dependent foster child","Brother/sister","Father/mother","Non-dependent grandchild","Grandfather/grandmother","Cousin","Uncle/aunt","Nephew/niece","Other related individual (nec)","Unrelated individual living in family household","Group household member","Lone person","Visitor (from within Australia)","Other non-classifiable relationship","Not applicable","Total",
"CED (UR)",
"Oxley",54431,10243,184,312,7862,31833,1774,133,389,239,128,8084,851,17,9251,1020,15,2085,1346,278,129,221,128,418,174,2287,3686,8949,4065,7046,5626,163207,
"Petrie",55857,12437,222,406,8128,28328,1994,120,291,135,82,6026,860,11,8387,1067,9,1618,1143,262,134,153,67,215,125,1905,4259,14332,4235,5876,4594,163268,
"Rankin",59027,11748,137,252,9319,35778,1895,116,438,272,129,8031,879,15,11163,1161,11,2319,1632,355,147,291,130,476,208,3203,5287,9576,4439,7820,2915,179171,
"Ryan",55012,9373,318,286,4738,25577,955,24,90,54,32,8400,650,5,6029,517,3,1821,680,120,56,135,44,146,106,2104,11260,10427,4031,4166,8177,155348,
"Wide Bay",51132,10647,158,193,6656,21132,1419,123,327,88,75,4254,535,14,6462,724,13,944,826,249,100,45,46,104,112,1450,3974,14396,5744,6796,5347,144096,
"Wright",57596,11484,176,211,5829,27958,1858,214,350,144,123,6047,819,46,8386,1186,19,1104,1385,234,100,70,55,139,119,2182,3477,8435,4630,7944,4098,156442,
"No usual address (Qld)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9638,0,2876,12515,
"Migratory - Offshore - Shipping (Qld)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,133,152,
"Adelaide",50698,10970,519,471,5657,21583,734,40,104,82,47,6785,545,8,6155,411,10,2240,587,175,84,225,70,180,95,1984,12447,20422,4874,6075,9161,163440,
"Barker",53504,11039,78,140,5901,22935,1513,185,221,118,45,4805,620,16,6145,665,15,919,411,239,105,66,46,97,54,1062,3280,17014,6875,5620,5769,149501,
"Boothby",55730,9013,172,257,5522,22141,849,64,117,48,32,7637,722,4,7218,599,3,1311,554,167,87,102,47,135,55,1419,4745,14111,4220,3457,5290,145832,
